payment_id,process_id,pay,pay_type,status,discount,pay_date,finished
1,1,400000,cash,payment,300000,2016-03-05,1
2,2,800000,cash,payment,0,2016-03-05,1
3,3,50000,cash,payment,0,2016-04-07,1
4,4,50000,cash,payment,0,2016-04-07,1
5,5,50000,cash,payment,0,2016-04-07,1
6,6,50000,cash,payment,0,2016-04-07,1
7,7,50000,cash,payment,0,2016-04-07,1
8,8,50000,cash,payment,0,2016-04-07,1
9,9,50000,cash,payment,0,2016-04-07,1
10,10,650000,cash,payment,50000,2016-05-10,1
11,11,650000,cash,payment,50000,2016-06-12,1
12,12,20000,cash,payment,30000,2016-07-15,1
13,13,50000,cash,payment,0,2016-07-15,1
14,14,50000,cash,payment,0,2016-07-15,1
15,15,50000,cash,payment,0,2016-07-15,1
16,16,50000,cash,payment,0,2016-07-15,1
17,17,50000,cash,payment,0,2016-07-15,1
18,18,50000,cash,payment,0,2016-07-15,1
19,19,50000,cash,payment,30000,2016-08-17,1
20,20,60000,cash,payment,20000,2016-09-19,1
21,21,30000,cash,payment,20000,2016-09-19,1
22,22,110000,cash,payment,190000,2016-11-15,1
23,23,50000,cash,payment,0,2016-12-17,1
24,24,100000,cash,payment,-50000,2017-09-01,1
25,25,1000000,cash,payment,-200000,2016-08-02,1
26,26,700000,cash,payment,300000,2016-08-03,1
27,27,730000,cash,payment,270000,2016-08-03,1
28,28,1000000,cash,payment,0,2016-08-03,1
29,29,300000,cash,payment,0,2016-08-03,1
30,30,300000,cash,payment,0,2016-08-03,1
31,31,300000,cash,payment,0,2016-08-03,1
32,32,50000,cash,payment,0,2016-08-03,1
33,33,50000,cash,payment,0,2016-08-03,1
34,34,50000,cash,payment,0,2016-08-03,1
35,35,50000,cash,payment,0,2016-08-03,1
36,36,50000,cash,payment,0,2016-08-03,1
37,37,80000,cash,payment,0,2016-08-03,1
38,38,1000000,cash,payment,-300000,2016-08-04,1
39,39,50000,cash,payment,0,2016-08-05,1
40,40,50000,cash,payment,0,2016-08-05,1
41,41,50000,cash,payment,0,2016-08-05,1
42,42,80000,cash,payment,-30000,2016-08-06,1
43,43,80000,cash,payment,-30000,2016-09-06,1
44,44,600000,cash,payment,100000,2016-09-07,1
45,45,160000,cash,payment,-110000,2016-09-14,1
46,46,70000,cash,payment,10000,2016-10-22,1
47,47,70000,cash,payment,10000,2016-10-22,1
48,48,50000,cash,payment,0,2016-10-21,1
49,49,50000,cash,payment,0,2016-10-21,1
50,50,700000,cash,payment,100000,2016-11-01,1
51,51,100000,cash,payment,200000,2016-11-04,1
52,52,650000,cash,payment,150000,2016-11-08,1
53,53,50000,cash,payment,0,2016-11-05,1
54,54,70000,cash,payment,10000,2016-11-05,1
55,55,650000,cash,payment,50000,2016-11-24,1
56,56,50000,cash,payment,0,2016-12-14,1
57,57,50000,cash,payment,0,2016-12-14,1
58,58,650000,cash,payment,50000,2016-12-14,1
59,59,2800000,cash,payment,-200000,2017-02-10,1
60,60,2600000,cash,payment,-200000,2017-02-10,1
61,61,2400000,cash,payment,0,2017-02-10,1
62,62,500000,cash,payment,500000,2017-04-21,1
63,63,1000000,cash,payment,0,2017-04-21,1
64,64,700000,cash,payment,0,2017-06-06,1
65,65,1000000,cash,payment,200000,2017-06-06,1
66,66,1000000,cash,payment,200000,2017-06-06,1
67,67,800000,cash,payment,-100000,2017-09-11,1
68,68,50000,cash,payment,0,2017-08-02,1
69,69,50000,cash,payment,0,2017-08-02,1
70,70,50000,cash,payment,0,2017-08-02,1
71,71,50000,cash,payment,0,2017-08-02,1
72,72,50000,cash,payment,0,2017-08-02,1
73,73,1000000,cash,payment,0,2017-09-27,1
74,74,1000000,cash,payment,0,2017-09-27,1
75,75,700000,cash,payment,0,2017-10-16,1
76,76,100000,cash,payment,0,2017-10-16,1
77,77,300000,cash,payment,0,2017-10-30,1
78,78,800000,cash,payment,0,2017-12-13,1
79,79,750000,cash,payment,-50000,2017-12-15,1
80,80,700000,cash,payment,0,2018-01-15,1
81,81,700000,cash,payment,0,2018-01-15,1
82,82,1400000,cash,payment,-200000,2018-01-15,1
83,83,1400000,cash,payment,-200000,2018-01-15,1
84,84,350000,cash,payment,350000,2018-01-09,1
85,85,350000,cash,payment,450000,2018-01-09,1
86,86,2000000,cash,payment,400000,2018-01-24,1
87,87,1200000,cash,payment,0,2018-07-10,1
88,88,250000,cash,payment,50000,2018-02-13,1
89,89,750000,cash,payment,-50000,2018-02-20,1
90,90,750000,cash,payment,-50000,2018-02-20,1
91,91,200000,cash,payment,0,2018-03-14,1
92,92,1300000,cash,payment,-100000,2018-03-20,1
93,93,2600000,cash,payment,0,2018-04-25,1
94,94,2600000,cash,payment,0,2018-04-25,1
95,95,2600000,cash,payment,0,2018-04-25,1
96,96,700000,cash,payment,0,2018-04-25,1
97,97,1000000,cash,payment,-300000,2018-04-25,1
98,98,1000000,cash,payment,-200000,2018-04-25,1
99,99,600000,cash,retired,300000,2018-05-29,0
